MANDT,MATNR,SPRAS,MAKTX,MAKTG
100,MAT0000105,J,Configurable high-level flexibility   ,CONFIGURABLE HIGH-LEVEL FLEXIBILITY
100,MAT0000153,P,A segurança de conseguir sem preocupação,A SEGURANÇA DE CONSEGUIR SEM PREOCUPAÇÃO
100,MAT0000410,F,A arte de concretizar seus projetos dire,A ARTE DE CONCRETIZAR SEUS PROJETOS DIRE
100,MAT0000881,E,La liberté de changer plus rapidement,LA LIBERTÉ DE CHANGER PLUS RAPIDEMENT
100,MAT0000882,P,O poder de ganhar antes de tudo,O PODER DE GANHAR ANTES DE TUDO
100,MAT0001857,F,Organized logistical system engine,ORGANIZED LOGISTICAL SYSTEM ENGINE
100,MAT0001557,D,A possibilidade de evoluir antes de tudo,A POSSIBILIDADE DE EVOLUIR ANTES DE TUDO
100,MAT0001577,D,Multi-layered actuating capability   ,MULTI-LAYERED ACTUATING CAPABILITY
100,MAT0000425,D,Open-architected transitional intranet,OPEN-ARCHITECTED TRANSITIONAL INTRANET
100,MAT0001125,P,A liberdade de mudar de maneira eficaz,A LIBERDADE DE MUDAR DE MANEIRA EFICAZ
100,MAT0000433,D,L'avantage de louer autrement,L'AVANTAGE DE LOUER AUTREMENT
100,MAT0001298,F,A simplicidade de conseguir com força to,A SIMPLICIDADE DE CONSEGUIR COM FORÇA TO
100,MAT0000006,D,Fundamental directional toolset   ,FUNDAMENTAL DIRECTIONAL TOOLSET
100,MAT0000326,P,Streamlined client-driven knowledgebase,STREAMLINED CLIENT-DRIVEN KNOWLEDGEBASE
100,MAT0001748,E,Reduced value-added task-force,REDUCED VALUE-ADDED TASK-FORCE
100,MAT0001160,J,Le confort de concrétiser vos projets en,LE CONFORT DE CONCRÉTISER VOS PROJETS EN
100,MAT0001337,E,Adaptive directional synergy,ADAPTIVE DIRECTIONAL SYNERGY
100,MAT0000654,P,Le droit de changer plus facilement   ,LE DROIT DE CHANGER PLUS FACILEMENT
100,MAT0001597,P,Polarized homogeneous firmware,POLARIZED HOMOGENEOUS FIRMWARE
100,MAT0000888,F,La liberté d'innover avant-tout,LA LIBERTÉ D'INNOVER AVANT-TOUT
100,MAT0000900,P,Upgradable local moderator,UPGRADABLE LOCAL MODERATOR
100,MAT0001264,D,Universal explicit throughput,UNIVERSAL EXPLICIT THROUGHPUT
100,MAT0000578,E,User-centric zero administration paralle,USER-CENTRIC ZERO ADMINISTRATION PARALLE
100,MAT0001217,P,Organized systematic support   ,ORGANIZED SYSTEMATIC SUPPORT
100,MAT0001892,P,De-engineered context-sensitive emulatio   ,DE-ENGINEERED CONTEXT-SENSITIVE EMULATIO
100,MAT0001432,P,Synchronized foreground task-force,SYNCHRONIZED FOREGROUND TASK-FORCE
100,MAT0000966,D,Adaptive homogeneous collaboration   ,ADAPTIVE HOMOGENEOUS COLLABORATION
100,MAT0001000,F,Switchable bi-directional conglomeration,SWITCHABLE BI-DIRECTIONAL CONGLOMERATION
100,MAT0000751,D,Networked asymmetric matrices   ,NETWORKED ASYMMETRIC MATRICES
100,MZ-FG-E17,P,Customizable discrete knowledgebase,CUSTOMIZABLE DISCRETE KNOWLEDGEBASE
100,MAT0001318,F,Mandatory real-time process improvement,MANDATORY REAL-TIME PROCESS IMPROVEMENT
100,MAT0000163,F,A segurança de ganhar simplesmente,A SEGURANÇA DE GANHAR SIMPLESMENTE
100,MAT0001608,J,A simplicidade de conseguir com toda a t,A SIMPLICIDADE DE CONSEGUIR COM TODA A T
100,MAT0000313,D,Le pouvoir de rouler à l'état pur,LE POUVOIR DE ROULER À L'ÉTAT PUR
100,MAT0001753,D,Customer-focused hybrid archive,CUSTOMER-FOCUSED HYBRID ARCHIVE
100,MAT0001545,F,Automated motivating software   ,AUTOMATED MOTIVATING SOFTWARE
100,MAT0000215,J,Le droit de rouler naturellement,LE DROIT DE ROULER NATURELLEMENT
100,MAT0001914,F,Persistent regional flexibility   ,PERSISTENT REGIONAL FLEXIBILITY
100,MAT0001172,D,A simplicidade de avançar naturalmente,A SIMPLICIDADE DE AVANÇAR NATURALMENTE
100,MAT0000436,E,Vision-oriented web-enabled open system,VISION-ORIENTED WEB-ENABLED OPEN SYSTEM
100,MAT0000933,P,Pre-emptive secondary complexity   ,PRE-EMPTIVE SECONDARY COMPLEXITY
100,MAT0001346,D,Mandatory regional forecast,MANDATORY REGIONAL FORECAST
100,MAT0001741,J,Object-based holistic hub,OBJECT-BASED HOLISTIC HUB
100,MAT0000254,J,Customizable actuating challenge,CUSTOMIZABLE ACTUATING CHALLENGE
100,MAT0001781,P,Decentralized encompassing info-mediarie,DECENTRALIZED ENCOMPASSING INFO-MEDIARIE
100,MAT0000369,D,Programmable analyzing middleware,PROGRAMMABLE ANALYZING MIDDLEWARE
100,MAT0001118,P,Profound impactful instruction set   ,PROFOUND IMPACTFUL INSTRUCTION SET
100,MAT0001804,J,O poder de conseguir com força total,O PODER DE CONSEGUIR COM FORÇA TOTAL
100,MAT0000909,E,Innovative dynamic instruction set,INNOVATIVE DYNAMIC INSTRUCTION SET
100,MAT0001734,F,O direito de mudar em estado puro,O DIREITO DE MUDAR EM ESTADO PURO
100,MAT0000331,P,O conforto de concretizar seus projetos ,O CONFORTO DE CONCRETIZAR SEUS PROJETOS
100,MAT0001017,D,Le confort d'évoluer sans soucis,LE CONFORT D'ÉVOLUER SANS SOUCIS
